20190128T102844Z,0,222
20190128T103909Z,0,157
20190128T103915Z,0,146
20190128T110959Z,0,161
20190128T122624Z,0,120
20190128T194422Z,0,144
20190128T194924Z,0,169
20190128T195055Z,0,203
20190130T123848Z,0,187
20190130T141710Z,0,220
20190130T141758Z,0,189
20190130T193132Z,0,286
20190131T142937Z,0,165
20190131T144050Z,0,170
20190131T153931Z,0,166
20190131T161858Z,0,126
20190131T183035Z,0,258
20190201T120739Z,0,162
20190201T171511Z,0,91
20190201T201418Z,0,192
20190202T150527Z,0,182
20190202T153715Z,0,209
20190202T160859Z,0,162
20190202T162541Z,0,170
20190203T075522Z,0,198
20190203T180159Z,0,102
20190204T171351Z,0,162
20190205T171428Z,0,158
20190206T174344Z,0,213
20190206T195459Z,0,205
20190207T180007Z,0,224
20190208T120106Z,0,141
20190208T145833Z,0,160
20190208T145836Z,0,179
20190208T151700Z,0,89
20190208T151700Z,0,2
20190208T154931Z,0,164
20190208T161738Z,0,140
20190208T164237Z,0,167
20190208T191842Z,0,154
20190208T191915Z,0,138
20190208T192800Z,0,126
20190208T195108Z,0,259
20190209T071849Z,0,169
20190209T081555Z,0,179
20190209T111953Z,0,193
20190211T080545Z,0,139
20190211T194422Z,0,152
20190211T194423Z,0,172
20190211T195455Z,0,177
20190212T135903Z,0,200
20190213T133008Z,0,110
20190213T165806Z,0,152
20190213T184210Z,0,162
20190215T075500Z,0,167
20190216T160040Z,0,200
20190216T173148Z,0,129
20190219T105724Z,0,144
20190219T105807Z,0,137
20190219T130431Z,0,153
20190219T174003Z,0,115
20190219T175153Z,0,105
20190219T192339Z,0,152
20190220T073333Z,0,138
20190220T204638Z,0,141
20190221T153944Z,0,175
20190221T155101Z,0,153
20190221T172820Z,0,152
20190221T172908Z,0,191
20190222T062333Z,0,136
20190223T212246Z,0,142
20190224T121321Z,0,240
20190224T122114Z,0,183
20190224T122357Z,0,117
20190224T122449Z,0,131
20190224T122648Z,0,222
20190224T122801Z,0,153
20190227T125037Z,0,157
20190228T163739Z,0,153
20190301T120217Z,0,177
20190301T192820Z,0,158
20190301T193313Z,0,105
20190301T193406Z,0,156
20190301T193518Z,0,48
20190301T193519Z,0,100
20190302T105827Z,0,175
20190302T114244Z,0,183
20190302T142105Z,0,152
20190302T172000Z,0,172
20190303T084936Z,0,122
20190304T080023Z,0,130
20190304T081457Z,0,111
20190304T142120Z,0,147
20190304T155100Z,0,143
20190304T155356Z,0,99
20190304T165312Z,0,100
20190304T183817Z,0,164
20190305T175220Z,0,98
20190305T180438Z,0,129
20190306T210209Z,0,120
20190310T140116Z,0,152
20190311T173734Z,0,129
20190313T073537Z,0,153
20190313T074330Z,0,137
20190313T162058Z,0,202
20190314T074556Z,0,149
